"","names","nominated","win","prop"
"18","0000138",5,0,0
"122","0001215",5,0,0
"61","0000438",4,0,0
"103","0000160",4,0,0
"29","0000136",3,0,0
"32","0000129",3,0,0
"41","0001570",3,0,0
"64","0000560",3,0,0
"65","0001618",3,0,0
"88","0000052",3,0,0
"89","0000634",3,0,0
"2","0000146",2,0,0
"35","0000518",2,0,0
"48","0000437",2,0,0
"49","0000457",2,0,0
"54","0000353",2,0,0
"58","0000226",2,0,0
"68","0000237",2,0,0
"73","0000179",2,0,0
"87","0000454",2,0,0
"91","0000249",2,0,0
"99","0000375",2,0,0
"102","0005212",2,0,0
"104","0749263",2,0,0
"116","0000230",2,0,0
"127","0001702",2,0,0
"141","0001228",2,0,0
"21","0000168",1,0,0
"31","0000537",1,0,0
"43","0000198",1,0,0
"44","0000148",1,0,0
"52","0000620",1,0,0
"57","0000553",1,0,0
"60","0000172",1,0,0
"63","0000367",1,0,0
"67","0000401",1,0,0
"70","0000474",1,0,0
"72","0001731",1,0,0
"76","0000285",1,0,0
"80","0350453",1,0,0
"82","0001557",1,0,0
"86","0000604",1,0,0
"90","0000195",1,0,0
"92","0654110",1,0,0
"93","0000513",1,0,0
"94","0000092",1,0,0
"97","0000412",1,0,0
"100","0000641",1,0,0
"101","0000342",1,0,0
"105","0413168",1,0,0
"106","0000297",1,0,0
"107","0000619",1,0,0
"109","0001371",1,0,0
"110","0000369",1,0,0
"111","0641939",1,0,0
"112","0000332",1,0,0
"113","0000592",1,0,0
"115","0420955",1,0,0
"117","0000090",1,0,0
"118","0001725",1,0,0
"120","0001579",1,0,0
"121","0003817",1,0,0
"123","0000156",1,0,0
"124","0001804",1,0,0
"126","0001295",1,0,0
"129","0290556",1,0,0
"142","1055413",1,0,0
