"","names","nominated","win","prop"
"96","0000095",24,3,0.125
"1","0000197",12,3,0.25
"5","0000199",8,1,0.125
"10","0000008",8,2,0.25
"40","0000123",8,2,0.25
"130","0000493",8,2,0.25
"4","0000134",7,2,0.285714285714286
"6","0000163",7,2,0.285714285714286
"20","0000380",7,1,0.142857142857143
"12","0000243",6,2,0.333333333333333
"14","0000313",6,1,0.166666666666667
"27","0000323",6,2,0.333333333333333
"3","0000358",5,3,0.6
"7","0000158",5,2,0.4
"8","0000093",5,1,0.2
"13","0000432",5,2,0.4
"26","0000151",5,1,0.2
"50","0000576",5,2,0.4
"9","0000164",4,1,0.25
"16","0000458",4,1,0.25
"22","0000169",4,1,0.25
"30","0001426",4,1,0.25
"34","0000450",4,1,0.25
"59","0000245",4,1,0.25
"74","0001691",4,1,0.25
"85","0000063",4,2,0.5
"95","0001715",4,1,0.25
"108","0001811",4,2,0.5
"128","0000685",4,1,0.25
"17","0000126",3,1,0.333333333333333
"28","0000128",3,1,0.333333333333333
"38","0001673",3,2,0.666666666666667
"45","0000354",3,1,0.333333333333333
"71","0000671",3,1,0.333333333333333
"75","0000905",3,1,0.333333333333333
"78","0000849",3,1,0.333333333333333
"79","0000078",3,1,0.333333333333333
"137","0002048",3,2,0.666666666666667
"15","0000209",2,1,0.5
"19","0000154",2,1,0.5
"23","0000228",2,2,1
"24","0000115",2,1,0.5
"33","0005132",2,1,0.5
"36","0000288",2,1,0.5
"37","0000377",2,1,0.5
"39","0000147",2,1,0.5
"46","0000024",2,1,0.5
"47","0000582",2,1,0.5
"51","0000686",2,1,0.5
"53","0000140",2,2,1
"83","0910607",2,2,1
"84","0001125",2,1,0.5
"114","0000255",2,2,1
"125","0004937",2,1,0.5
"132","0002075",2,1,0.5
"11","0000460",1,1,1
"25","0000177",1,1,1
"42","0000125",1,1,1
"55","0001845",1,1,1
"56","0000336",1,1,1
"62","0177933",1,1,1
"66","0001467",1,1,1
"69","0004778",1,1,1
"77","0000719",1,1,1
"81","0628955",1,1,1
"98","0000421",1,1,1
"119","0001018",1,1,1
"131","0138770",1,1,1
"133","0590055",1,1,1
"134","0424565",1,1,1
"135","0001297",1,1,1
"136","0122675",1,1,1
"138","0000459",1,1,1
"139","0001283",1,1,1
"140","0000747",1,1,1
