"","names","nominated","win","prop"
"59","0728812",12,0,0
"95","0000335",12,0,0
"19","0002050",10,0,0
"29","0841797",6,0,0
"46","0662223",6,0,0
"71","0010736",5,0,0
"41","0001547",4,0,0
"43","0001739",4,0,0
"130","0094135",4,0,0
"142","0000737",4,0,0
"175","0556850",4,0,0
"27","0178066",3,0,0
"60","0000081",3,0,0
"134","0000260",3,0,0
"172","0001453",3,0,0
"173","0001473",3,0,0
"186","0000201",3,0,0
"207","0000244",3,0,0
"210","0931329",3,0,0
"211","0000700",3,0,0
"4","0001257",2,0,0
"5","0001805",2,0,0
"12","0000074",2,0,0
"13","0000017",2,0,0
"18","0000795",2,0,0
"23","0570192",2,0,0
"35","0000307",2,0,0
"36","0006471",2,0,0
"38","0001989",2,0,0
"68","0926599",2,0,0
"76","0837925",2,0,0
"86","0242972",2,0,0
"88","0004647",2,0,0
"109","0205626",2,0,0
"110","1567113",2,0,0
"114","0364915",2,0,0
"121","0227039",2,0,0
"123","0000213",2,0,0
"125","0948772",2,0,0
"129","0653642",2,0,0
"132","0910278",2,0,0
"141","0000254",2,0,0
"143","0000268",2,0,0
"144","0000950",2,0,0
"146","0001049",2,0,0
"150","0001114",2,0,0
"151","0000365",2,0,0
"154","0000368",2,0,0
"168","0001416",2,0,0
"176","0000541",2,0,0
"177","0587249",2,0,0
"182","0608090",2,0,0
"192","0001687",2,0,0
"198","0822535",2,0,0
"204","0880521",2,0,0
"205","0001833",2,0,0
"206","0915208",2,0,0
"9","0000013",1,0,0
"14","0001479",1,0,0
"24","0000752",1,0,0
"26","0001463",1,0,0
"28","0000992",1,0,0
"33","0001666",1,0,0
"39","0001225",1,0,0
"40","0779549",1,0,0
"47","0001955",1,0,0
"50","0646829",1,0,0
"51","0002104",1,0,0
"52","0733460",1,0,0
"62","0394244",1,0,0
"63","0001981",1,0,0
"64","0000781",1,0,0
"65","0537685",1,0,0
"66","0021329",1,0,0
"70","0000291",1,0,0
"72","0641966",1,0,0
"73","0002022",1,0,0
"79","0643353",1,0,0
"82","1297015",1,0,0
"84","0181305",1,0,0
"85","0601428",1,0,0
"89","0815433",1,0,0
"90","0280242",1,0,0
"94","0353405",1,0,0
"97","0000895",1,0,0
"98","0486136",1,0,0
"99","0794297",1,0,0
"102","0001807",1,0,0
"105","0733480",1,0,0
"106","0601930",1,0,0
"112","0313438",1,0,0
"113","0463435",1,0,0
"117","0000951",1,0,0
"118","0840531",1,0,0
"119","0086198",1,0,0
"126","0890215",1,0,0
"127","0939931",1,0,0
"131","0404046",1,0,0
"133","0001546",1,0,0
"137","0647970",1,0,0
"139","0914083",1,0,0
"140","0723968",1,0,0
"145","0000330",1,0,0
"147","0001057",1,0,0
"148","0001080",1,0,0
"153","0000366",1,0,0
"159","0362267",1,0,0
"160","0366946",1,0,0
"161","0000446",1,0,0
"164","0001388",1,0,0
"166","0436706",1,0,0
"170","0000178",1,0,0
"180","0005244",1,0,0
"183","1659547",1,0,0
"184","0625075",1,0,0
"185","0674781",1,0,0
"188","0728938",1,0,0
"190","0731499",1,0,0
"191","0001684",1,0,0
"194","0000218",1,0,0
"195","0000223",1,0,0
"196","0796662",1,0,0
"197","0811202",1,0,0
"199","0001767",1,0,0
"203","0000678",1,0,0
"209","0001839",1,0,0
