"","names","nominated","win","prop"
"6","0000031",24,8,0.333333333333333
"3","0000012",22,4,0.181818181818182
"200","0000658",19,3,0.157894736842105
"136","0656183",16,2,0.125
"7","0000006",14,6,0.428571428571429
"20","0002093",14,2,0.142857142857143
"69","0001749",12,4,0.333333333333333
"77","0000511",12,2,0.166666666666667
"80","0000995",12,2,0.166666666666667
"108","0000651",12,2,0.166666666666667
"122","0000701",12,2,0.166666666666667
"2","0000014",10,4,0.4
"11","0428354",10,2,0.2
"34","0001333",10,2,0.2
"37","0000843",10,2,0.2
"67","0000668",10,4,0.4
"78","0000659",10,4,0.4
"25","0001046",8,2,0.25
"55","0943837",8,2,0.25
"61","0310980",8,2,0.25
"93","0001859",8,4,0.5
"96","0940946",8,2,0.25
"152","0001132",7,1,0.142857142857143
"156","0000404",7,2,0.285714285714286
"8","0001076",6,2,0.333333333333333
"10","0000267",6,2,0.333333333333333
"15","0001055",6,2,0.333333333333333
"21","0000021",6,2,0.333333333333333
"22","0790454",6,1,0.166666666666667
"48","0942863",6,2,0.333333333333333
"81","0001159",6,2,0.333333333333333
"83","0384908",6,2,0.333333333333333
"171","0001448",6,2,0.333333333333333
"187","0000603",6,1,0.166666666666667
"158","0002106",5,1,0.2
"181","0000194",5,1,0.2
"193","0000215",5,1,0.2
"1","0000046",4,4,1
"87","0000856",4,1,0.25
"103","0237597",4,2,0.5
"115","0623658",4,2,0.5
"135","0797531",4,2,0.5
"157","0000149",4,2,0.5
"162","0000456",4,1,0.25
"165","0413559",4,2,0.5
"167","0000473",4,1,0.25
"179","0000545",4,1,0.25
"189","0000210",4,1,0.25
"49","0872456",3,1,0.333333333333333
"54","0720843",3,1,0.333333333333333
"74","0002141",3,1,0.333333333333333
"138","0047810",3,1,0.333333333333333
"149","0004851",3,1,0.333333333333333
"155","0000398",3,2,0.666666666666667
"163","0001378",3,1,0.333333333333333
"213","0000250",3,1,0.333333333333333
"16","0000879",2,1,0.5
"17","0000038",2,1,0.5
"30","0001677",2,2,1
"42","0004266",2,1,0.5
"44","0707023",2,2,1
"45","0182839",2,1,0.5
"57","0949835",2,1,0.5
"75","0002108",2,1,0.5
"100","0371040",2,2,1
"101","0000155",2,1,0.5
"104","0564790",2,1,0.5
"107","0001788",2,1,0.5
"169","0001441",2,1,0.5
"174","0536167",2,1,0.5
"178","0591485",2,1,0.5
"201","0005476",2,2,1
"212","0000702",2,1,0.5
"31","0000802",1,1,1
"32","0567408",1,1,1
"53","0002034",1,1,1
"56","0001693",1,1,1
"58","0001656",1,1,1
"91","0001549",1,1,1
"92","0001375",1,1,1
"111","0818055",1,1,1
"116","0006800",1,1,1
"120","0001458",1,1,1
"124","0001157",1,1,1
"128","0668093",1,1,1
"202","0842770",1,1,1
"208","0001838",1,1,1
