"","names","nominated","win","prop"
"13","0000095",24,3,0.125
"15","0001379",15,1,0.0666666666666667
"2","0000040",13,1,0.0769230769230769
"17","0001053",13,2,0.153846153846154
"3","0000217",12,1,0.0833333333333333
"12","0000180",11,2,0.181818181818182
"91","0000231",11,3,0.272727272727273
"30","0000581",10,2,0.2
"34","0003593",10,3,0.3
"5","0001392",9,1,0.111111111111111
"33","0564970",8,2,0.25
"52","0112218",8,1,0.125
"11","0000406",6,4,0.666666666666667
"25","0000116",6,1,0.166666666666667
"66","0004056",6,2,0.333333333333333
"71","0190859",6,1,0.166666666666667
"4","0000233",5,2,0.4
"8","0001008",5,3,0.6
"10","0002030",5,1,0.2
"14","0002031",5,1,0.2
"24","0000591",5,1,0.2
"48","0000487",5,2,0.4
"31","0920074",4,1,0.25
"39","0696247",4,1,0.25
"47","0000165",4,1,0.25
"64","0001351",4,2,0.5
"92","0083348",4,2,0.5
"27","0001232",3,2,0.666666666666667
"35","0002545",3,1,0.333333333333333
"59","0715346",3,1,0.333333333333333
"67","0002020",3,1,0.333333333333333
"72","0000905",3,1,0.333333333333333
"74","0000965",3,1,0.333333333333333
"96","0000797",3,1,0.333333333333333
"23","0000709",2,1,0.5
"41","0881279",2,1,0.5
"62","0314584",2,1,0.5
"73","0000264",2,1,0.5
"80","0001945",2,1,0.5
"99","0001243",2,1,0.5
"100","0591486",2,1,0.5
"101","0001880",2,1,0.5
"38","0001129",1,1,1
"45","0281808",1,1,1
"58","0769874",1,1,1
"68","0005222",1,1,1
